node_id,layer,community
U Street/African-Amer Civil War Memorial/Cardozo,2025-09-24 00:00:00,4
Union Station,2025-09-24 00:00:00,2
Van Dorn Street,2025-09-24 00:00:00,4
Van Ness-UDC,2025-09-24 00:00:00,2
Vienna/Fairfax-GMU,2025-09-24 00:00:00,1
Virginia Square-GMU,2025-09-24 00:00:00,1
Washington Dulles International Airport,2025-09-24 00:00:00,1
Waterfront,2025-09-24 00:00:00,4
West Falls Church,2025-09-24 00:00:00,1
West Hyattsville,2025-09-24 00:00:00,4
Wheaton,2025-09-24 00:00:00,2
Wiehle-Reston East,2025-09-24 00:00:00,1
Woodley Park-Zoo/Adams Morgan,2025-09-24 00:00:00,2
Addison Road-Seat Pleasant,2025-09-25 00:00:00,1
Anacostia,2025-09-25 00:00:00,4
Archives-Navy Memorial-Penn Quarter,2025-09-25 00:00:00,4
Arlington Cemetery,2025-09-25 00:00:00,4
Ashburn,2025-09-25 00:00:00,1
Ballston-MU,2025-09-25 00:00:00,1
Benning Road,2025-09-25 00:00:00,1
Bethesda,2025-09-25 00:00:00,2
Braddock Road,2025-09-25 00:00:00,4
Branch Ave,2025-09-25 00:00:00,4
Brookland-CUA,2025-09-25 00:00:00,2
Capitol Heights,2025-09-25 00:00:00,1
Capitol South,2025-09-25 00:00:00,1
Cheverly,2025-09-25 00:00:00,1
Clarendon,2025-09-25 00:00:00,1
Cleveland Park,2025-09-25 00:00:00,2
College Park-U of Md,2025-09-25 00:00:00,4
Columbia Heights,2025-09-25 00:00:00,4
Congress Heights,2025-09-25 00:00:00,4
Court House,2025-09-25 00:00:00,1
Crystal City,2025-09-25 00:00:00,4
Deanwood,2025-09-25 00:00:00,1
Downtown Largo,2025-09-25 00:00:00,1
Dunn Loring-Merrifield,2025-09-25 00:00:00,1
Dupont Circle,2025-09-25 00:00:00,2
East Falls Church,2025-09-25 00:00:00,1
Eastern Market,2025-09-25 00:00:00,1
Eisenhower Ave,2025-09-25 00:00:00,4
Farragut North,2025-09-25 00:00:00,2
Farragut West,2025-09-25 00:00:00,1
Federal Center SW,2025-09-25 00:00:00,1
Federal Triangle,2025-09-25 00:00:00,1
